epoch	metric	loss	iter	time	train_time	validation_time	epoch_time
1209	0.8474	0.1897	33852	5.76 hr	10.61s	64.84s	75.45s
1219	0.8572	0.1511	34132	5.80 hr	10.03s	64.84s	74.87s
1229	0.8357	0.2039	34412	5.85 hr	10.66s	65.11s	75.77s
1239	0.8258	0.1520	34692	5.90 hr	10.04s	64.83s	74.87s
1249	0.8384	0.1752	34972	5.95 hr	10.74s	64.84s	75.58s
1259	0.8524	0.1672	35252	5.99 hr	10.39s	64.98s	75.37s
1269	0.8134	0.1731	35532	6.04 hr	10.39s	64.87s	75.26s
1279	0.8450	0.1804	35812	6.09 hr	10.47s	64.82s	75.30s
1289	0.8257	0.1783	36092	6.14 hr	10.07s	65.00s	75.07s
1299	0.8303	0.1975	36372	6.18 hr	10.27s	64.90s	75.17s
1309	0.8546	0.1338	36652	6.23 hr	10.04s	64.79s	74.83s
1319	0.8432	0.1412	36932	6.28 hr	10.40s	64.94s	75.33s
1329	0.8406	0.1671	37212	6.33 hr	10.14s	64.83s	74.96s
1339	0.8473	0.1579	37492	6.37 hr	10.05s	64.88s	74.93s
1349	0.8218	0.1971	37772	6.42 hr	10.38s	64.84s	75.22s
1359	0.8002	0.1443	38052	6.47 hr	10.49s	65.00s	75.49s
1369	0.8537	0.1745	38332	6.52 hr	10.15s	64.84s	74.98s
1379	0.8280	0.2164	38612	6.56 hr	10.21s	64.90s	75.10s
1389	0.8545	0.1751	38892	6.61 hr	10.14s	64.98s	75.12s
1399	0.8456	0.1609	39172	6.66 hr	10.21s	64.89s	75.10s
1409	0.8427	0.1614	39452	6.71 hr	10.16s	64.82s	74.98s
1419	0.8514	0.2061	39732	6.75 hr	10.55s	64.92s	75.47s
1429	0.8431	0.1720	40012	6.80 hr	10.24s	64.77s	75.01s
1439	0.8458	0.1969	40292	6.85 hr	10.08s	64.85s	74.93s
1449	0.8401	0.1502	40572	6.90 hr	10.21s	64.79s	75.00s
1459	0.8441	0.1632	40852	6.94 hr	10.03s	64.83s	74.86s
1469	0.8529	0.1571	41132	6.99 hr	10.58s	64.84s	75.43s
1479	0.8489	0.1540	41412	7.04 hr	10.08s	64.84s	74.91s
1489	0.8311	0.1430	41692	7.09 hr	11.00s	64.84s	75.84s
1499	0.8239	0.1585	41972	7.14 hr	10.29s	64.94s	75.23s
1509	0.8297	0.1901	42252	7.18 hr	10.56s	64.89s	75.46s
1519	0.8420	0.1965	42532	7.23 hr	10.12s	64.97s	75.08s
1529	0.8334	0.1802	42812	7.28 hr	10.12s	64.84s	74.96s
1539	0.8148	0.1614	43092	7.33 hr	10.55s	64.82s	75.38s
1549	0.8453	0.1255	43372	7.37 hr	10.98s	64.88s	75.87s
1559	0.8414	0.1382	43652	7.42 hr	10.55s	64.95s	75.51s
1569	0.8028	0.1657	43932	7.47 hr	10.58s	64.77s	75.35s
1579	0.8383	0.1749	44212	7.52 hr	10.62s	64.94s	75.57s
1589	0.8328	0.1782	44492	7.56 hr	10.42s	64.99s	75.41s
1599	0.8357	0.1448	44772	7.61 hr	10.32s	64.79s	75.11s
1609	0.8457	0.2364	45052	7.66 hr	10.73s	64.90s	75.64s
1619	0.8197	0.1887	45332	7.71 hr	10.97s	64.90s	75.87s
1629	0.8405	0.1409	45612	7.76 hr	10.08s	64.84s	74.92s
1639	0.8377	0.1943	45892	7.80 hr	10.07s	64.78s	74.85s
1649	0.8478	0.1564	46172	7.85 hr	10.48s	64.84s	75.32s
1659	0.8035	0.1776	46452	7.90 hr	10.41s	64.76s	75.18s
1669	0.8499	0.1368	46732	7.94 hr	10.04s	64.85s	74.90s
1679	0.8438	0.1243	47012	7.99 hr	10.22s	64.94s	75.16s
1689	0.8502	0.1777	47292	8.04 hr	10.45s	64.89s	75.34s
1699	0.8202	0.1667	47572	8.09 hr	10.54s	64.83s	75.37s
1709	0.8402	0.1448	47852	8.13 hr	10.14s	64.89s	75.03s
1719	0.8464	0.1924	48132	8.18 hr	10.07s	64.88s	74.95s
1729	0.8562	0.1739	48412	8.23 hr	10.21s	64.83s	75.04s
1739	0.8502	0.1707	48692	8.28 hr	10.04s	64.88s	74.92s
1749	0.8577	0.1258	48972	8.32 hr	10.05s	64.84s	74.89s
1759	0.8231	0.2130	49252	8.37 hr	10.51s	64.94s	75.46s
1769	0.8365	0.1873	49532	8.42 hr	10.15s	64.89s	75.04s
1779	0.8373	0.1553	49812	8.47 hr	10.39s	64.79s	75.18s
1789	0.8403	0.1032	50092	8.51 hr	10.20s	64.92s	75.12s
1799	0.7701	0.2256	50372	8.56 hr	10.04s	64.78s	74.82s
1809	0.8420	0.2205	50652	8.61 hr	10.25s	64.78s	75.03s
1819	0.8416	0.1590	50932	8.66 hr	10.06s	64.81s	74.88s
1829	0.8583	0.1302	51212	8.70 hr	10.15s	64.84s	74.99s
1839	0.8544	0.1761	51492	8.75 hr	10.41s	64.94s	75.36s
1849	0.8526	0.1208	51772	8.80 hr	10.84s	64.79s	75.63s
1859	0.8352	0.1822	52052	8.85 hr	10.30s	64.90s	75.20s
1869	0.8372	0.1396	52332	8.89 hr	10.14s	64.84s	74.98s
1879	0.8430	0.1219	52612	8.94 hr	10.07s	64.83s	74.90s
1889	0.8573	0.1597	52892	8.99 hr	10.14s	64.78s	74.91s
